avg_ipt,bytes_in,bytes_out,dest_ip,dest_port,entropy,proto,source_ip,source_port,time_end,time_start,total_entropy,duration
0,0,786,1900,5.34,17,786,47194,169553731850117,169553731850117,0.00,0,0.001
0,0,786,37843,6.04,17,786,443,169553731850117,169553732050180,0.00,0,0.002
0,0,786,37843,4.44,17,786,443,169553731850117,169553732150221,0.00,0,0
0,0,786,443,6.37,6,786,34816,169553731850117,169553732259638,0.00,0,0
0,0,786,443,7.93,6,786,34816,169553731850117,169553732359740,0.00,0,0
0,0,786,443,7.90,6,786,34816,169553731850117,169553732459795,0.00,0,0
0,0,786,39872,7.76,6,786,443,169553731850117,169553732559839,0.00,0,0
