avg_ipt,bytes_in,bytes_out,dest_ip,dest_port,entropy,proto,source_ip,source_port,time_end,time_start,total_entropy,label
0,0,786,443,4.86,17,786,57166,169554305415512,169554305415512,0.0,,Outlier
0,0,786,57166,4.61,17,786,443,169554305415512,169554305515602,0.0,,Outlier
0,0,786,1900,5.34,17,786,44133,169554305415512,169554305615637,0.0,,Outlier
0,0,786,1900,5.34,17,786,44133,169554305415512,169554305715674,0.0,,Outlier
0,0,786,53,0.0,17,786,37612,169554305415512,169554305815710,0.0,,Outlier
0,0,786,443,4.72,17,786,57166,169554305415512,169554305927131,0.0,,Outlier
0,0,786,57166,4.75,17,786,443,169554305415512,169554306027165,0.0,,Outlier
0,0,786,443,4.72,17,786,43894,169554305415512,169554306127204,0.0,,Outlier
0,0,786,43894,4.81,17,786,443,169554305415512,169554306227223,0.0,,Outlier
0,0,786,443,6.37,6,786,44536,169554305415512,169554306327259,0.0,,Outlier
0,0,786,58414,6.21,6,786,443,169554305415512,169554306431920,0.0,,Outlier
0,0,786,443,6.01,6,786,58414,169554305415512,169554306532025,0.0,,Outlier
0,0,786,443,6.39,6,786,44536,169554305415512,169554306732089,0.0,,Outlier
0,0,786,443,7.93,6,786,44536,169554305415512,169554306832203,0.0,,Outlier
0,0,786,443,6.32,6,786,44536,169554305415512,169554307042312,0.0,,Outlier
0,0,786,443,7.92,6,786,44536,169554305415512,169554307142412,0.0,,Outlier
0,0,786,44536,5.12,6,786,443,169554305415512,169554307342496,0.0,,Outlier
0,0,786,443,4.79,17,786,57166,169554305415512,169554307474329,0.0,,Outlier
0,0,786,57166,4.66,17,786,443,169554305415512,169554307574356,0.0,,Outlier
0,0,786,443,6.33,6,786,44536,169554305415512,169554307674385,0.0,,Outlier
0,0,786,443,7.93,6,786,44536,169554305415512,169554307774425,0.0,,Outlier
0,0,786,443,7.9,6,786,44536,169554305415512,169554307874488,0.0,,Outlier
0,0,786,443,4.65,17,786,43894,169554305415512,169554307986320,0.0,,Outlier
0,0,786,43894,4.74,17,786,443,169554305415512,169554308086347,0.0,,Outlier
0,0,786,443,4.79,17,786,43894,169554305415512,169554308186389,0.0,,Outlier
0,0,786,43894,4.81,17,786,443,169554305415512,169554308286425,0.0,,Outlier
0,0,786,443,6.34,6,786,44536,169554305415512,169554308386456,0.0,,Outlier
0,0,786,443,4.72,6,786,42116,169554305415512,169554308495917,0.0,,Outlier
0,0,786,443,6.33,6,786,44536,169554305415512,169554308696033,0.0,,Outlier
0,0,786,443,7.93,6,786,44536,169554305415512,169554308796062,0.0,,Outlier
0,0,786,443,7.9,6,786,44536,169554305415512,169554308896117,0.0,,Outlier
avg_ipt,bytes_in,bytes_out,dest_ip,dest_port,entropy,proto,source_ip,source_port,time_end,time_start,total_entropy,label
0,0,786,443,4.79,17,786,35435,169554750232528,169554750232529,0.0,,Outlier
0,0,786,35435,4.56,17,786,443,169554750232528,169554750332614,0.0,,Outlier
0,0,786,443,4.72,17,786,35435,169554750232528,169554750432646,0.0,,Outlier
0,0,786,35435,4.64,17,786,443,169554750232528,169554750532665,0.0,,Outlier
0,0,786,443,4.79,17,786,35435,169554750232528,169554750632758,0.0,,Outlier
0,0,786,443,4.69,17,786,35435,169554750232528,169554750895744,0.0,,Outlier
0,0,786,35435,4.55,17,786,443,169554750232528,169554750995765,0.0,,Outlier
